OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 14, 37, 52, 277460)), ('pm1_cf', 1), ('pm25_cf', 1), ('pm10_cf', 1), ('pm1', 1), ('pm25', 1), ('pm10', 1)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 14, 42, 53, 414322)), ('pm1_cf', 2), ('pm25_cf', 3), ('pm10_cf', 3), ('pm1', 2), ('pm25', 3), ('pm10', 3)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 14, 47, 54, 589233)), ('pm1_cf', 3), ('pm25_cf', 5), ('pm10_cf', 6), ('pm1', 3), ('pm25', 5), ('pm10', 6)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 14, 52, 55, 806311)), ('pm1_cf', 5), ('pm25_cf', 7), ('pm10_cf', 8), ('pm1', 5), ('pm25', 7), ('pm10', 8)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 14, 57, 56, 708176)), ('pm1_cf', 2), ('pm25_cf', 3), ('pm10_cf', 4), ('pm1', 2), ('pm25', 3), ('pm10', 4)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 15, 2, 57, 104983)), ('pm1_cf', 1), ('pm25_cf', 2), ('pm10_cf', 2), ('pm1', 1), ('pm25', 2), ('pm10', 2)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 15, 7, 58, 337694)), ('pm1_cf', 4), ('pm25_cf', 5), ('pm10_cf', 5), ('pm1', 4), ('pm25', 5), ('pm10', 5)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 15, 12, 58, 770433)), ('pm1_cf', 2), ('pm25_cf', 3), ('pm10_cf', 3), ('pm1', 2), ('pm25', 3), ('pm10', 3)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 15, 18, 0, 57319)), ('pm1_cf', 5), ('pm25_cf', 7), ('pm10_cf', 7), ('pm1', 5), ('pm25', 7), ('pm10', 7)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 15, 23, 0, 437375)), ('pm1_cf', 1), ('pm25_cf', 2), ('pm10_cf', 2), ('pm1', 1), ('pm25', 2), ('pm10', 2)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 15, 28, 0, 901270)), ('pm1_cf', 4), ('pm25_cf', 7), ('pm10_cf', 7), ('pm1', 4), ('pm25', 7), ('pm10', 7)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 15, 33, 1, 358588)), ('pm1_cf', 5), ('pm25_cf', 8), ('pm10_cf', 9), ('pm1', 5), ('pm25', 8), ('pm10', 9)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 15, 38, 2, 606955)), ('pm1_cf', 2), ('pm25_cf', 2), ('pm10_cf', 3), ('pm1', 2), ('pm25', 2), ('pm10', 3)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 15, 43, 3, 849883)), ('pm1_cf', 4), ('pm25_cf', 5), ('pm10_cf', 6), ('pm1', 4), ('pm25', 5), ('pm10', 6)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 15, 48, 5, 137336)), ('pm1_cf', 5), ('pm25_cf', 8), ('pm10_cf', 13), ('pm1', 5), ('pm25', 8), ('pm10', 13)])

OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 15, 58, 6, 863824)), ('pm1_cf', 5), ('pm25_cf', 7), ('pm10_cf', 8), ('pm1', 5), ('pm25', 7), ('pm10', 8)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 16, 3, 7, 337797)), ('pm1_cf', 7), ('pm25_cf', 10), ('pm10_cf', 10), ('pm1', 7), ('pm25', 10), ('pm10', 10)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 16, 8, 7, 868233)), ('pm1_cf', 8), ('pm25_cf', 10), ('pm10_cf', 12), ('pm1', 8), ('pm25', 10), ('pm10', 12)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 16, 13, 8, 892955)), ('pm1_cf', 9), ('pm25_cf', 11), ('pm10_cf', 12), ('pm1', 9), ('pm25', 11), ('pm10', 12)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 16, 18, 9, 419811)), ('pm1_cf', 4), ('pm25_cf', 6), ('pm10_cf', 7), ('pm1', 4), ('pm25', 6), ('pm10', 7)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 16, 23, 9, 915299)), ('pm1_cf', 6), ('pm25_cf', 7), ('pm10_cf', 9), ('pm1', 6), ('pm25', 7), ('pm10', 9)])

OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 16, 33, 11, 675544)), ('pm1_cf', 4), ('pm25_cf', 6), ('pm10_cf', 6), ('pm1', 4), ('pm25', 6), ('pm10', 6)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 16, 38, 12, 181348)), ('pm1_cf', 4), ('pm25_cf', 5), ('pm10_cf', 6), ('pm1', 4), ('pm25', 5), ('pm10', 6)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 16, 43, 12, 710813)), ('pm1_cf', 6), ('pm25_cf', 9), ('pm10_cf', 9), ('pm1', 6), ('pm25', 9), ('pm10', 9)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 16, 48, 13, 200656)), ('pm1_cf', 7), ('pm25_cf', 10), ('pm10_cf', 11), ('pm1', 7), ('pm25', 10), ('pm10', 11)])

OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 16, 58, 15, 193903)), ('pm1_cf', 7), ('pm25_cf', 9), ('pm10_cf', 11), ('pm1', 7), ('pm25', 9), ('pm10', 11)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 17, 3, 15, 777434)), ('pm1_cf', 5), ('pm25_cf', 6), ('pm10_cf', 6), ('pm1', 5), ('pm25', 6), ('pm10', 6)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 17, 8, 16, 862959)), ('pm1_cf', 6), ('pm25_cf', 8), ('pm10_cf', 9), ('pm1', 6), ('pm25', 8), ('pm10', 9)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 17, 13, 18, 19651)), ('pm1_cf', 7), ('pm25_cf', 11), ('pm10_cf', 11), ('pm1', 7), ('pm25', 11), ('pm10', 11)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 17, 18, 18, 826818)), ('pm1_cf', 8), ('pm25_cf', 12), ('pm10_cf', 12), ('pm1', 8), ('pm25', 12), ('pm10', 12)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 17, 23, 19, 429486)), ('pm1_cf', 6), ('pm25_cf', 10), ('pm10_cf', 11), ('pm1', 6), ('pm25', 10), ('pm10', 11)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 17, 28, 20, 243111)), ('pm1_cf', 6), ('pm25_cf', 9), ('pm10_cf', 10), ('pm1', 6), ('pm25', 9), ('pm10', 10)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 17, 33, 21, 414933)), ('pm1_cf', 7), ('pm25_cf', 10), ('pm10_cf', 10), ('pm1', 7), ('pm25', 10), ('pm10', 10)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 17, 38, 22, 594711)), ('pm1_cf', 7), ('pm25_cf', 10), ('pm10_cf', 11), ('pm1', 7), ('pm25', 10), ('pm10', 11)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 17, 43, 23, 171781)), ('pm1_cf', 6), ('pm25_cf', 9), ('pm10_cf', 10), ('pm1', 6), ('pm25', 9), ('pm10', 10)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 17, 48, 23, 846038)), ('pm1_cf', 9), ('pm25_cf', 13), ('pm10_cf', 15), ('pm1', 9), ('pm25', 13), ('pm10', 15)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 17, 53, 25, 112143)), ('pm1_cf', 12), ('pm25_cf', 21), ('pm10_cf', 22), ('pm1', 12), ('pm25', 21), ('pm10', 22)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 17, 58, 26, 37797)), ('pm1_cf', 19), ('pm25_cf', 33), ('pm10_cf', 34), ('pm1', 19), ('pm25', 32), ('pm10', 34)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 18, 3, 26, 720866)), ('pm1_cf', 10), ('pm25_cf', 17), ('pm10_cf', 19), ('pm1', 10), ('pm25', 17), ('pm10', 19)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 18, 8, 28, 47872)), ('pm1_cf', 13), ('pm25_cf', 19), ('pm10_cf', 19), ('pm1', 13), ('pm25', 19), ('pm10', 19)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 18, 13, 29, 366355)), ('pm1_cf', 10), ('pm25_cf', 15), ('pm10_cf', 16), ('pm1', 10), ('pm25', 15), ('pm10', 16)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 18, 18, 30, 61154)), ('pm1_cf', 9), ('pm25_cf', 14), ('pm10_cf', 14), ('pm1', 9), ('pm25', 14), ('pm10', 14)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 18, 23, 30, 887079)), ('pm1_cf', 13), ('pm25_cf', 18), ('pm10_cf', 19), ('pm1', 13), ('pm25', 18), ('pm10', 19)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 18, 28, 31, 828576)), ('pm1_cf', 13), ('pm25_cf', 21), ('pm10_cf', 21), ('pm1', 13), ('pm25', 21), ('pm10', 21)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 18, 33, 32, 292223)), ('pm1_cf', 8), ('pm25_cf', 14), ('pm10_cf', 16), ('pm1', 8), ('pm25', 14), ('pm10', 16)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 18, 38, 33, 659117)), ('pm1_cf', 13), ('pm25_cf', 20), ('pm10_cf', 21), ('pm1', 13), ('pm25', 20), ('pm10', 21)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 18, 43, 34, 721411)), ('pm1_cf', 11), ('pm25_cf', 15), ('pm10_cf', 15), ('pm1', 11), ('pm25', 15), ('pm10', 15)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 18, 48, 35, 542194)), ('pm1_cf', 14), ('pm25_cf', 21), ('pm10_cf', 21), ('pm1', 14), ('pm25', 21), ('pm10', 21)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 18, 53, 36, 594175)), ('pm1_cf', 13), ('pm25_cf', 22), ('pm10_cf', 23), ('pm1', 13), ('pm25', 22), ('pm10', 23)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 18, 58, 37, 383832)), ('pm1_cf', 12), ('pm25_cf', 16), ('pm10_cf', 21), ('pm1', 12), ('pm25', 16), ('pm10', 21)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 19, 3, 37, 887361)), ('pm1_cf', 8), ('pm25_cf', 13), ('pm10_cf', 13), ('pm1', 8), ('pm25', 13), ('pm10', 13)])

OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 19, 13, 40, 100261)), ('pm1_cf', 12), ('pm25_cf', 21), ('pm10_cf', 22), ('pm1', 12), ('pm25', 21), ('pm10', 22)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 19, 18, 40, 619826)), ('pm1_cf', 18), ('pm25_cf', 31), ('pm10_cf', 32), ('pm1', 18), ('pm25', 31), ('pm10', 32)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 19, 23, 41, 930802)), ('pm1_cf', 9), ('pm25_cf', 13), ('pm10_cf', 13), ('pm1', 9), ('pm25', 13), ('pm10', 13)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 19, 28, 42, 998541)), ('pm1_cf', 9), ('pm25_cf', 14), ('pm10_cf', 14), ('pm1', 9), ('pm25', 14), ('pm10', 14)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 19, 33, 43, 753900)), ('pm1_cf', 15), ('pm25_cf', 23), ('pm10_cf', 27), ('pm1', 15), ('pm25', 23), ('pm10', 27)])

OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 19, 43, 46, 233544)), ('pm1_cf', 13), ('pm25_cf', 21), ('pm10_cf', 21), ('pm1', 13), ('pm25', 21), ('pm10', 21)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 19, 48, 46, 940741)), ('pm1_cf', 7), ('pm25_cf', 12), ('pm10_cf', 12), ('pm1', 7), ('pm25', 12), ('pm10', 12)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 19, 53, 47, 731805)), ('pm1_cf', 22), ('pm25_cf', 32), ('pm10_cf', 33), ('pm1', 22), ('pm25', 32), ('pm10', 33)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 19, 58, 48, 858983)), ('pm1_cf', 17), ('pm25_cf', 28), ('pm10_cf', 29), ('pm1', 17), ('pm25', 28), ('pm10', 29)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 20, 3, 49, 709955)), ('pm1_cf', 15), ('pm25_cf', 22), ('pm10_cf', 22), ('pm1', 15), ('pm25', 22), ('pm10', 22)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 20, 8, 50, 817533)), ('pm1_cf', 23), ('pm25_cf', 30), ('pm10_cf', 32), ('pm1', 22), ('pm25', 30), ('pm10', 32)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 20, 13, 51, 701558)), ('pm1_cf', 19), ('pm25_cf', 29), ('pm10_cf', 29), ('pm1', 19), ('pm25', 29), ('pm10', 29)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 20, 18, 52, 764402)), ('pm1_cf', 26), ('pm25_cf', 41), ('pm10_cf', 44), ('pm1', 25), ('pm25', 37), ('pm10', 44)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 20, 23, 53, 839612)), ('pm1_cf', 40), ('pm25_cf', 53), ('pm10_cf', 59), ('pm1', 32), ('pm25', 45), ('pm10', 56)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 20, 28, 54, 764332)), ('pm1_cf', 41), ('pm25_cf', 60), ('pm10_cf', 62), ('pm1', 32), ('pm25', 49), ('pm10', 57)])
